mse,r2,sign_agree,topk_overlap,kendall_tau,seed,teacher,n_teacher,surrogate_train_s,surrogate_lat_s
0.0010986313791017,0.8138359661332051,0.475,0.6800000000000002,0.7045345376207931,0,SHAP,50,0.52194736499996,5.99592000071425e-06
0.0041417703908979,0.6388322843887502,0.7445,0.8266666666666667,0.538842105263158,0,LIME,50,0.6607305919999362,4.118949998428434e-06
0.0009839523429781,0.8332684276219527,0.4835,0.7033333333333333,0.7097158246257003,0,SHAP,100,0.7553526929998498,5.464480000227922e-06
0.0026490536233738,0.7689991101901184,0.766,0.8433333333333334,0.5374736842105263,0,LIME,100,0.9945753639999566,4.731030001039471e-06
0.0007777879496792,0.8682031617159347,0.489,0.7366666666666667,0.7180299828428777,0,SHAP,200,0.935662316999924,4.344799999671523e-06
0.0017696595242985,0.8456834089100603,0.762,0.8633333333333334,0.5608421052631578,0,LIME,200,1.4589088959999117,5.469440000069881e-06
0.0007644597203404,0.8704616416621778,0.493,0.7333333333333333,0.7235727549876622,0,SHAP,300,1.549174344999983,4.848880000736244e-06
0.0016670445205622,0.8546315694764555,0.7645,0.88,0.5636842105263158,0,LIME,300,1.813539485000092,6.532209999932092e-06
0.024791244192222,-1.8209496488451244,0.465,0.7800000000000001,0.6393467173962591,1,SHAP,50,0.7304734179999741,4.892430001746106e-06
0.0263910767323509,-1.6317680293462224,0.7065,0.5933333333333333,0.4078947368421052,1,LIME,50,0.7198305440001604,4.344330000094487e-06
0.0014341259397259,0.8368134719378493,0.4705,0.7833333333333334,0.6538061229913497,1,SHAP,100,0.9094545039999956,5.80042999899888e-06
0.0027992540390146,0.7208530989239081,0.709,0.6233333333333333,0.4268421052631578,1,LIME,100,0.8003920940000171,4.757470001095498e-06
0.0016852740929384,0.8082357898691458,0.481,0.7733333333333334,0.6700729542858268,1,SHAP,200,1.0493748559999858,5.0395399989611175e-06
0.0023332511719364,0.767323785194046,0.7315,0.63,0.4435789473684211,1,LIME,200,1.0238201360000403,4.365039999356668e-06
0.0010715196534925,0.8780737680282011,0.482,0.7666666666666668,0.6676630533533118,1,SHAP,300,1.1033774670002003,4.863250001108099e-06
0.0017916753094453,0.8213307533380372,0.747,0.6466666666666666,0.4654736842105262,1,LIME,300,1.802256553999996,4.853039999943576e-06
0.0011698033654333,0.8031365190247908,0.483,0.8066666666666668,0.6881472112796903,2,SHAP,50,0.4577261819999876,4.3045899997196105e-06
0.0029724805418134,0.7441388606979009,0.7375,0.8666666666666667,0.5731578947368421,2,LIME,50,0.745687794000105,4.241569999976491e-06
0.0008434713037668,0.8580541808402762,0.482,0.8466666666666667,0.701522161455149,2,SHAP,100,0.9990236400001322,5.1055599988103495e-06
0.0021925351705604,0.8112739381105322,0.741,0.8800000000000001,0.5511578947368422,2,LIME,100,0.8648496979999436,5.3112899990992444e-06
0.0007625687753769,0.8716690787189749,0.49,0.86,0.709354339485823,2,SHAP,200,1.0657852540000476,4.724190000615636e-06
0.0017008940501523,0.8535927541383846,0.739,0.8766666666666667,0.5597894736842105,2,LIME,200,1.2820383659998242,5.680629999460507e-06
0.0009496265146892,0.8401895678947432,0.4915,0.8433333333333334,0.6977868150097504,2,SHAP,300,0.8141667909999342,4.444520000106422e-06
0.0018955213893197,0.836839886613028,0.747,0.8733333333333334,0.5843157894736841,2,LIME,300,0.8115608220000468,4.239769998548581e-06
0.0032207879346299,0.4710442049960608,0.4815,0.7933333333333333,0.6288636483398184,3,SHAP,50,0.6086274909998792,4.447530000106781e-06
0.0046521377293376,0.5405279199088604,0.7035,0.7566666666666667,0.4512631578947368,3,LIME,50,0.7287053979998745,5.3618899983121086e-06
0.0013115118810158,0.7846080450622518,0.485,0.83,0.6582644397165026,3,SHAP,100,1.0642722330001106,4.820940000627161e-06
0.0027182060048711,0.7315342236541643,0.7255,0.7800000000000001,0.4676842105263158,3,LIME,100,0.8796265630001017,5.500489999121783e-06
0.0009059851615306,0.8512084275320975,0.4895,0.8200000000000002,0.667542558306686,3,SHAP,200,1.245079093999948,4.842579999149166e-06
0.0022726965124435,0.7755353227392554,0.735,0.77,0.4814736842105263,3,LIME,200,0.7423287019998952,4.9910099983208055e-06
0.0008330157612876,0.8631923233674987,0.496,0.8266666666666667,0.6647711722342936,3,SHAP,300,1.9141979550001904,5.494649999491231e-06
0.0026467283981123,0.7385937662920181,0.732,0.7833333333333333,0.4843157894736843,3,LIME,300,1.8295155910000176,6.116389999988314e-06
0.0016105388998072,0.6507700547157631,0.484,0.7666666666666667,0.6593488951361346,4,SHAP,50,0.5793030539998654,4.563160000543576e-06
0.0258166330371697,-1.9450587836654736,0.7175,0.7433333333333333,0.4753684210526315,4,LIME,50,0.7977986680000413,5.8468799988986574e-06
0.0019914623617334,0.5681704479742524,0.4835,0.7733333333333334,0.6733263205447222,4,SHAP,100,0.9083121969999866,4.351939999196475e-06
0.0227137219090017,-1.591091027305163,0.74,0.7366666666666666,0.4923157894736842,4,LIME,100,0.988318364999941,4.83335000126317e-06
0.0008264330788993,0.8207958969760771,0.488,0.7933333333333336,0.6869422608134328,4,SHAP,200,1.0884130809999988,4.739460000564577e-06
0.0017197176255059,0.8038214552947834,0.747,0.7533333333333334,0.4871578947368422,4,LIME,200,1.2227286249999452,5.474689999118709e-06
