seed,teacher,model_auc,model_ap,teacher_lat_s,surrogate_lat_s,surrogate_train_s,speedup,eff_gap_teacher,eff_gap_surrogate,mse,r2,sign_agree,topk_overlap,kendall_tau
0,SHAP,0.9878287727811454,0.9692488921875321,0.012784759925000343,4.848880000736244e-06,1.549174344999983,2636.6418478203486,7.993605777301127e-17,0.012556556893794252,0.0007644597203404139,0.8704616416621778,0.493,0.7333333333333333,0.7235727549876622
0,LIME,0.9878287727811454,0.9692488921875321,0.0211563958024999,6.532209999932092e-06,1.813539485000092,3238.780719346108,,,0.001667044520562239,0.8546315694764555,0.7645,0.88,0.5636842105263158
1,SHAP,0.9845132772791787,0.9598882887784058,0.01389188727999965,4.863250001108099e-06,1.1033774670002003,2856.502807142212,7.549516567451065e-17,0.0147743882063408,0.001071519653492523,0.8780737680282011,0.482,0.7666666666666668,0.6676630533533118
1,LIME,0.9845132772791787,0.9598882887784058,0.021506011752499603,4.853039999943576e-06,1.802256553999996,4431.451575249667,,,0.0017916753094453204,0.8213307533380372,0.747,0.6466666666666666,0.46547368421052626
2,SHAP,0.9857114448111332,0.9627448445396906,0.013019651412500366,4.444520000106422e-06,0.8141667909999342,2929.371768422375,7.882583474838611e-17,0.01312740172028379,0.0009496265146892391,0.8401895678947432,0.4915,0.8433333333333334,0.6977868150097504
2,LIME,0.9857114448111332,0.9627448445396906,0.021537203507500068,4.239769998548581e-06,0.8115608220000468,5079.804686309161,,,0.0018955213893197742,0.836839886613028,0.747,0.8733333333333334,0.5843157894736841
3,SHAP,0.986449699576867,0.9638880705247825,0.012993908749999719,5.4946499994912305e-06,1.9141979550001906,2364.829197711023,7.549516567451065e-17,0.01253909004905251,0.000833015761287637,0.8631923233674987,0.496,0.8266666666666667,0.6647711722342936
3,LIME,0.986449699576867,0.9638880705247825,0.021547407757500425,6.116389999988314e-06,1.8295155910000176,3522.8963093494026,,,0.0026467283981123266,0.7385937662920181,0.732,0.7833333333333333,0.4843157894736843
4,SHAP,0.9857616594370907,0.9646254877864051,0.013135690224999622,4.9200800003745825e-06,1.6684718789999806,2669.812325002755,6.88338275267597e-17,0.012721061641352121,0.000728365483321287,0.8420609164313483,0.491,0.8033333333333336,0.6959793893103643
4,LIME,0.9857616594370907,0.9646254877864051,0.021581618547500056,5.802450000373938e-06,2.0611115809999774,3719.3975900023665,,,0.001541131058925179,0.8241939002916217,0.74,0.7666666666666667,0.4946315789473685
